Time,Avg-Remaining DSB,Var-Remaining DSB
0.0,1.0,0.0
1.0869565217391304,0.375,0.0017361111111111127
2.1739130434782608,0.375,0.0017361111111111127
3.260869565217391,0.375,0.0017361111111111127
4.3478260869565215,0.375,0.0017361111111111127
5.434782608695652,0.375,0.0017361111111111127
6.521739130434782,0.375,0.0017361111111111127
7.608695652173913,0.375,0.0017361111111111127
8.695652173913043,0.375,0.0017361111111111127
9.782608695652174,0.375,0.0017361111111111127
10.869565217391305,0.375,0.0017361111111111127
11.956521739130435,0.375,0.0017361111111111127
13.043478260869565,0.375,0.0017361111111111127
14.130434782608695,0.375,0.0017361111111111127
15.217391304347826,0.375,0.0017361111111111127
16.304347826086957,0.375,0.0017361111111111127
17.391304347826086,0.375,0.0017361111111111127
18.47826086956522,0.375,0.0017361111111111127
19.565217391304348,0.375,0.0017361111111111127
20.65217391304348,0.375,0.0017361111111111127
21.73913043478261,0.375,0.0017361111111111127
22.82608695652174,0.375,0.0017361111111111127
23.91304347826087,0.375,0.0017361111111111127
25.0,0.375,0.0017361111111111127
